Date,Close,Volume,Daily_Return_Pct,Year,Month,DayOfWeek,Quarter
2021-06-24 00:00:00,226.61,137947200.0,3.541,2021,6,3,2
2021-06-25 00:00:00,223.96,97490100.0,-1.169,2021,6,4,2
2021-06-28 00:00:00,229.57,64884600.0,2.508,2021,6,0,2
2021-06-29 00:00:00,226.92,52143900.0,-1.156,2021,6,1,2
2021-06-30 00:00:00,226.57,56774700.0,-0.156,2021,6,2,2
2021-07-01 00:00:00,225.97,55903500.0,-0.262,2021,7,3,3
2021-07-02 00:00:00,226.3,81163500.0,0.145,2021,7,4,3
2021-07-06 00:00:00,219.86,69853500.0,-2.846,2021,7,1,3
2021-07-07 00:00:00,214.88,56376000.0,-2.264,2021,7,2,3
2021-07-08 00:00:00,217.6,68319900.0,1.266,2021,7,3,3
2021-07-09 00:00:00,218.98,54421500.0,0.634,2021,7,4,3
2021-07-12 00:00:00,228.57,77781000.0,4.376,2021,7,0,3
2021-07-13 00:00:00,222.85,62898300.0,-2.503,2021,7,1,3
2021-07-14 00:00:00,217.79,64923600.0,-2.268,2021,7,2,3
2021-07-15 00:00:00,216.87,60628800.0,-0.425,2021,7,3,3
2021-07-16 00:00:00,214.74,49113000.0,-0.981,2021,7,4,3
2021-07-19 00:00:00,215.41,63891300.0,0.31,2021,7,0,3
2021-07-20 00:00:00,220.17,46461300.0,2.21,2021,7,1,3
2021-07-21 00:00:00,218.43,41859900.0,-0.789,2021,7,2,3
2021-07-22 00:00:00,216.42,45317100.0,-0.92,2021,7,3,3
2021-07-23 00:00:00,214.46,43814700.0,-0.906,2021,7,4,3
2021-07-26 00:00:00,219.21,76009800.0,2.213,2021,7,0,3
2021-07-27 00:00:00,214.93,98439900.0,-1.952,2021,7,1,3
2021-07-28 00:00:00,215.66,48019800.0,0.341,2021,7,2,3
2021-07-29 00:00:00,225.78,91183800.0,4.694,2021,7,3,3
2021-07-30 00:00:00,229.07,88969200.0,1.454,2021,7,4,3
2021-08-02 00:00:00,236.56,100847400.0,3.27,2021,8,0,3
2021-08-03 00:00:00,236.58,64860900.0,0.01,2021,8,1,3
2021-08-04 00:00:00,236.97,51007800.0,0.166,2021,8,2,3
2021-08-05 00:00:00,238.21,38758800.0,0.522,2021,8,3,3
2021-08-06 00:00:00,233.03,46869000.0,-2.173,2021,8,4,3
2021-08-09 00:00:00,237.92,44145900.0,2.097,2021,8,0,3
2021-08-10 00:00:00,236.66,40296900.0,-0.528,2021,8,1,3
2021-08-11 00:00:00,235.94,29401800.0,-0.306,2021,8,2,3
2021-08-12 00:00:00,240.75,52377300.0,2.039,2021,8,3,3
2021-08-13 00:00:00,239.06,50194500.0,-0.703,2021,8,4,3
2021-08-16 00:00:00,228.72,68032200.0,-4.323,2021,8,0,3
2021-08-17 00:00:00,221.9,71163900.0,-2.982,2021,8,1,3
2021-08-18 00:00:00,229.66,61048200.0,3.497,2021,8,2,3
2021-08-19 00:00:00,224.49,42940500.0,-2.253,2021,8,3,3
2021-08-20 00:00:00,226.75,44525700.0,1.008,2021,8,4,3
2021-08-23 00:00:00,235.43,60794700.0,3.828,2021,8,0,3
2021-08-24 00:00:00,236.16,39249300.0,0.31,2021,8,1,3
2021-08-25 00:00:00,237.07,37936800.0,0.383,2021,8,2,3
2021-08-26 00:00:00,233.72,39642900.0,-1.412,2021,8,3,3
2021-08-27 00:00:00,237.31,41501400.0,1.535,2021,8,4,3
2021-08-30 00:00:00,243.64,55812600.0,2.667,2021,8,0,3
2021-08-31 00:00:00,245.24,62566200.0,0.658,2021,8,1,3
2021-09-01 00:00:00,244.7,39612900.0,-0.222,2021,9,2,3
2021-09-02 00:00:00,244.13,38331900.0,-0.232,2021,9,3,3
2021-09-03 00:00:00,244.52,45738300.0,0.161,2021,9,4,3
2021-09-07 00:00:00,250.97,60119400.0,2.638,2021,9,1,3
2021-09-08 00:00:00,251.29,56379000.0,0.126,2021,9,2,3
2021-09-09 00:00:00,251.62,42233100.0,0.131,2021,9,3,3
2021-09-10 00:00:00,245.42,45552600.0,-2.463,2021,9,4,3
2021-09-13 00:00:00,247.67,68857500.0,0.914,2021,9,0,3
2021-09-14 00:00:00,248.16,55574700.0,0.201,2021,9,1,3
2021-09-15 00:00:00,251.94,46073100.0,1.523,2021,9,2,3
2021-09-16 00:00:00,252.33,41770200.0,0.153,2021,9,3,3
2021-09-17 00:00:00,253.16,84612600.0,0.33,2021,9,4,3
2021-09-20 00:00:00,243.39,74273100.0,-3.86,2021,9,0,3
2021-09-21 00:00:00,246.46,48992100.0,1.261,2021,9,1,3
2021-09-22 00:00:00,250.65,45378900.0,1.699,2021,9,2,3
2021-09-23 00:00:00,251.21,35842500.0,0.226,2021,9,3,3
2021-09-24 00:00:00,258.13,64119000.0,2.753,2021,9,4,3
2021-09-27 00:00:00,263.79,84212100.0,2.191,2021,9,0,3
2021-09-28 00:00:00,259.19,76144200.0,-1.744,2021,9,1,3
2021-09-29 00:00:00,260.44,62828700.0,0.482,2021,9,2,3
2021-09-30 00:00:00,258.49,53868000.0,-0.746,2021,9,3,3
2021-10-01 00:00:00,258.41,51094200.0,-0.034,2021,10,4,4
2021-10-04 00:00:00,260.51,91449900.0,0.814,2021,10,0,4
